circuit_id,migrated_at
BASI002857,2024-01-29
BASI002928,2024-01-29
BASI002971,2024-01-29
BASI003022,2024-01-29
BASI003202,2024-01-29
BASI003204,2024-01-29
BASI003205,2024-01-29
BASI003206,2024-01-29
BASI002972,2024-01-29
BASI003071,2024-01-29
BASI003298,2024-01-29
BASI002690,2024-01-29
BASI003023,2024-01-29
BASI003073,2024-01-29
BASI003287,2024-01-29
BASI002944,2024-01-29
BASI003207,2024-01-29
BASI003262,2024-01-29
BASI003263,2024-01-29
BASI002556,2024-01-29
BASI002625,2024-01-29
BASI002839,2024-01-29
BASI002973,2024-01-29
BASI002535,2024-01-29
BASI002536,2024-01-29
BASI003371,2024-01-29
BASI002579,2024-01-29
BASI002650,2024-01-29
BASI002909,2024-01-29
BASI002929,2024-01-29
BASI003001,2024-01-29
BASI003025,2024-01-29
BASI002538,2024-01-29
BASI003343,2024-01-29
BASI002564,2024-01-29
BASI002599,2024-01-29
BASI003026,2024-01-30
BASI002539,2024-01-29
BASI002541,2024-01-29
BASI002759,2024-01-29
BASI002573,2024-01-29
BASI002841,2024-01-29
BASI002859,2024-01-29
BASI002974,2024-01-29
BASI003075,2024-01-29
BASI003273,2024-01-29
BASI003351,2024-01-29
BASI003378,2024-01-29
BASI002760,2024-01-29
BASI003002,2024-01-29
BASI002574,2024-01-29
BASI003049,2024-01-29
BASI003930,2024-01-29
BASI003941,2024-01-29
BASI003209,2024-01-29
BASI002607,2024-01-29
BASI002976,2024-01-29
BASI004084,2024-01-29
BASI002780,2024-01-29
BASI002782,2024-01-29
BASI002783,2024-01-29
BASI002680,2024-01-29
BASI002703,2024-01-29
BASI002895,2024-01-29
BASI002644,2024-01-29
BASI003372,2024-01-29
BASI002681,2024-01-29
BASI003211,2024-01-29
BASI003212,2024-01-29
BASI003213,2024-01-29
BASI003214,2024-01-29
BASI003315,2024-01-29
BASI003384,2024-01-29
BASI003215,2024-01-29
BASI002896,2024-01-29
BASI003050,2024-01-29
BASI002788,2024-01-29
BASI002789,2024-01-29
BASI002790,2024-01-29
BASI002601,2024-01-29
BASI002619,2024-01-29
BASI003935,2024-01-29
BASI002746,2024-01-29
BASI003078,2024-01-29
BASI002794,2024-01-29
BASI002795,2024-01-29
BASI002796,2024-01-29
BASI003344,2024-01-29
BASI002747,2024-01-29
BASI002798,2024-01-29
BASI004090,2024-01-29
BASI003355,2024-01-29
BASI002748,2024-01-29
BASI002978,2024-01-29
BASI002801,2024-01-29
BASI002802,2024-01-29
BASI002803,2024-01-29
BASI002804,2024-01-29
BASI004066,2024-01-29
BASI002806,2024-01-29
BASI002807,2024-01-29
BASI002808,2024-01-29
BASI002813,2024-01-29
BASI002815,2024-01-30
BASI002823,2024-01-29
BASI003081,2024-01-29
BASI003221,2024-01-29
BASI003225,2024-01-29
BASI003345,2024-01-29
BASI002581,2024-01-29
BASI002645,2024-01-29
BASI002827,2024-01-29
BASI003229,2024-01-29
BASI003230,2024-01-29
BASI003232,2024-01-29
BASI003233,2024-01-29
BASI003234,2024-01-29
BASI003235,2024-01-29
BASI003236,2024-01-29
BASI003240,2024-01-29
BASI003241,2024-01-29
BASI003385,2024-01-29
BASI002845,2024-01-29
CESI001368,2024-01-29
CESI001409,2024-01-29
CESI000606,2024-01-29
CESI001339,2024-01-29
CESI001364,2024-01-29
CESI001367,2024-01-29
CESI001369,2024-01-29
CESI001370,2024-01-29
CESI001374,2024-01-29
CESI001378,2024-01-29
CESI001380,2024-01-29
CESI001341,2024-01-29
CESI001411,2024-01-29
CESI001360,2024-01-29
CESI001344,2024-01-29
CESI001346,2024-01-29
CESI001465,2024-01-29
CESI001347,2024-01-29
CESI001383,2024-01-29
CESI001466,2024-01-29
CESI001371,2024-01-29
